ndc,rxcui,atc_class,atc_class_name
59762-5030-01,310353,J02AC,Triazole and tetrazole derivatives
0409-7391-72,1872384,B05XA,Electrolyte solutions
52268-0100-01,966922,B05CB,Salt solutions
0409-4928-34,828527,A12AA,Calcium
0597-0087-17,836368,R01AX,Other nasal preparations
55390-0037-10,859437,M03AC,Other quaternary ammonium compounds
0338-0049-01,1807627,B05XA,Electrolyte solutions
46287-0006-60,1799654,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
51991-0457-57,876193,A06AD,Osmotically acting laxatives
51079-0285-20,197591,N05BA,Benzodiazepine derivatives
0223-1760-01,313009,A12CA,Sodium
63739-0225-10,314216,A03AX,Other drugs for functional gastrointestinal disorders
51079-0753-20,314234,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
68084-0259-01,197361,C08CA,Dihydropyridine derivatives
0904-7591-61,310325,B03AA,"Iron bivalent, oral preparations"
43598-0637-10,1193360,N03AX,Other antiepileptics
47781-0586-29,896771,C07AG,Alpha and beta blocking agents
0641-6231-25,966571,C02DB,Hydrazinophthalazine derivatives
0143-9633-10,858603,C08CA,Dihydropyridine derivatives
60687-0333-01,314077,C09AA,"ACE inhibitors, plain"
0121-4839-40,1049604,N02AA,Natural opium alkaloids
0713-0109-50,209597,A06AB,Contact laxatives
51079-0058-20,197499,C03BA,"Sulfonamides, plain"
0338-3551-48,1807511,A07AA,Antibiotics
0186-6040-01,603536,A02BC,Proton pump inhibitors
0409-2267-20,896771,C07AG,Alpha and beta blocking agents
0143-9673-25,647121,N03AX,Other antiepileptics
0185-0010-01,896758,C07AG,Alpha and beta blocking agents
0641-6125-25,1732006,N02AA,Natural opium alkaloids
