ndc,rxcui,atc_class,atc_class_name
63010-0027-70,542370,J05AE,Protease inhibitors
59572-0415-21,643714,L04AX,Other immunosuppressants
61703-0343-18,197989,L01DB,Anthracyclines and related substances
69918-0501-05,849506,H01BA,Vasopressin and analogues
66658-0234-07,727714,L04AC,Interleukin inhibitors
66658-0234-28,727714,L04AC,Interleukin inhibitors
0703-4183-01,1729422,L01CA,Vinca alkaloids and analogues
49884-0315-55,401953,N05AX,Other antipsychotics
60687-0356-01,885219,N04AC,Ethers of tropine or tropine derivatives
50458-0320-06,104782,N05AX,Other antipsychotics
50458-0320-01,104782,N05AX,Other antipsychotics
68180-0612-07,853201,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
0409-1463-01,1866543,N02AF,Morphinan derivatives
59676-0278-01,1102277,J05AG,Non-nucleoside reverse transcriptase inhibitors
51991-0793-06,314214,N06DA,Anticholinesterases
0904-6363-45,1099563,N03AG,Fatty acid derivatives
0781-1874-31,562251,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
0591-3870-44,996571,N06DX,Other anti-dementia drugs
25021-0113-87,1721314,J02AC,Triazole and tetrazole derivatives
60687-0451-21,351256,C03DA,Aldosterone antagonists
51672-2037-01,309370,D01AC,Imidazole and triazole derivatives
51672-4017-01,197685,M01AB,Acetic acid derivatives and related substances
0168-0089-30,1053697,D07CB,"Corticosteroids, moderately potent, combinations with antibiotics"
63323-0103-51,309311,L01XA,Platinum compounds
50268-0177-15,242461,B01AC,Platelet aggregation inhibitors excl. heparin
63323-0960-10,581531,J01AA,Tetracyclines
17478-0100-02,1298066,S01FA,Anticholinergics
39822-1201-02,314124,B05CA,Antiinfectives
43598-0931-09,1723232,H01BA,Vasopressin and analogues
0378-9112-93,486152,C01DA,Organic nitrates
24208-0505-10,1150836,S01ED,Beta blocking agents
68462-0359-01,311893,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
61958-1901-01,1721619,V03AX,Other therapeutic products
0378-0427-01,198238,M01AB,Acetic acid derivatives and related substances
36000-0047-24,1665507,J01MA,Fluoroquinolones
0536-1056-56,486131,D10AE,Peroxides
67457-0238-02,1740865,L01BB,Purine analogues
41167-0006-09,1101448,R06AA,Aminoalkyl ethers
55111-0527-01,198378,L04AD,Calcineurin inhibitors
68084-0281-01,308988,N04BA,Dopa and dopa derivatives
58468-0357-03,828267,L04AG,Monoclonal antibodies
50242-0051-21,1657864,L01FA,CD20 (Clusters of Differentiation 20) inhibitors
0904-6583-04,199147,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
0378-5041-91,313108,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
0904-6786-61,485023,L04AA,Selective immunosuppressants
0904-6615-61,1099596,N03AG,Fatty acid derivatives
60687-0211-21,1099625,N03AG,Fatty acid derivatives
70710-1530-01,1790115,L01DB,Anthracyclines and related substances
0143-1458-01,198083,N03AA,Barbiturates and derivatives
67877-0545-88,309113,J01DB,First-generation cephalosporins
50090-0215-00,993755,N02BE,Anilides
13533-0634-02,1087395,J06BB,Specific immunoglobulins
0430-3754-14,890918,G03CA,"Natural and semisynthetic estrogens, plain"
43478-0900-88,856535,C07AA,"Beta blocking agents, non-selective"
51079-0978-20,308988,N04BA,Dopa and dopa derivatives
0378-3925-93,834235,M04AA,Preparations inhibiting uric acid production
45802-0098-51,238151,A07EC,Aminosalicylic acid and similar agents
0456-1405-30,751623,C07AB,"Beta blocking agents, selective"
57237-0108-01,402698,C08CA,Dihydropyridine derivatives
0703-4685-01,197989,L01DB,Anthracyclines and related substances
23155-0290-42,1723160,J01GB,Other aminoglycosides
0168-0416-30,314266,D11AH,"Agents for dermatitis, excluding corticosteroids"
51672-1365-04,1191310,D07AC,"Corticosteroids, potent (group III)"
68727-0745-02,1942748,L01XY,Combinations of antineoplastic agents
0254-2045-02,1482908,J02AC,Triazole and tetrazole derivatives
69468-0151-04,1739800,A16AX,Various alimentary tract and metabolism products
55150-0251-10,1010033,N01BB,Amides
24208-0002-02,582692,B06AA,Enzymes
0472-0380-45,238920,A07EA,Corticosteroids acting locally
80681-0019-00,198025,A11HA,Other plain vitamin preparations
42023-0189-10,311936,N07AA,Anticholinesterases
0378-0052-01,198105,C07AA,"Beta blocking agents, non-selective"
67457-0852-04,242969,C01CA,Adrenergic and dopaminergic agents
54738-0913-01,835564,N06AA,Non-selective monoamine reuptake inhibitors
63323-0173-02,1870676,D06AX,Other antibiotics for topical use
43386-0161-01,317128,A02BB,Prostaglandins
50458-0586-01,1091187,N06BA,Centrally acting sympathomimetics
76075-0101-01,1806942,L01XG,Proteasome inhibitors
49348-0277-34,977986,A07DA,Antipropulsives
30698-0143-01,209006,A11CC,Vitamin D and analogues
60505-3112-00,312079,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
60505-0165-01,903891,N06AB,Selective serotonin reuptake inhibitors
70594-0056-03,1807510,A07AA,Antibiotics
0173-0633-02,105019,N03AX,Other antiepileptics
0310-1105-30,2047639,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
0168-0033-46,197409,A07EA,Corticosteroids acting locally
63739-0005-32,313776,N05AE,Indole derivatives
51079-0574-20,198325,N05AB,Phenothiazines with piperazine structure
0904-6270-08,313776,N05AE,Indole derivatives
68752-0692-60,308694,D10AE,Peroxides
68382-0309-30,486148,C01DA,Organic nitrates
0378-3025-01,857297,N06AA,Non-selective monoamine reuptake inhibitors
61958-0403-01,1243346,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
68180-0602-07,199147,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
64980-0514-05,1992303,C07AA,"Beta blocking agents, non-selective"
0832-0510-00,857336,N07AB,Choline esters
16729-0050-54,317160,L01AX,Other alkylating agents
63459-0104-50,2105835,L01FA,CD20 (Clusters of Differentiation 20) inhibitors
57962-0140-09,1442992,L01EL,Bruton's tyrosine kinase (BTK) inhibitors
72266-0102-01,896771,C07AG,Alpha and beta blocking agents
0143-1480-01,198175,H03BA,Thiouracils
0206-8861-01,1659139,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
25021-0202-51,597195,L01XA,Platinum compounds
63323-0192-02,1740865,L01BB,Purine analogues
0703-4094-01,1728055,A04AA,Serotonin (5HT3) antagonists
70860-0208-51,1191138,L01DB,Anthracyclines and related substances
0143-1765-01,197838,C01DA,Organic nitrates
0409-6509-01,313572,A07AA,Antibiotics
51079-0755-20,197443,N04BA,Dopa and dopa derivatives
17478-0713-10,312075,S01AE,Fluoroquinolones
60687-0555-01,197528,N03AE,Benzodiazepine derivatives
65862-0830-30,855812,B01AC,Platelet aggregation inhibitors excl. heparin
57664-0392-88,313582,N06AX,Other antidepressants
67877-0605-30,855812,B01AC,Platelet aggregation inhibitors excl. heparin
53746-0641-01,886662,C01BC,"Antiarrhythmics, class Ic"
61314-0204-15,1000862,S01EB,Parasympathomimetics
0338-0126-12,2179749,A10AB,"Insulins and analogues for injection, fast-acting"
39822-0706-02,313115,A07AA,Antibiotics
0904-6710-15,310519,V06DC,Carbohydrates
0517-0710-01,310414,V03AB,Antidotes
63323-0180-01,312736,A11HA,Other plain vitamin preparations
60687-0493-01,897659,C08DA,Phenylalkylamine derivatives
0409-1749-29,1673243,N01BB,Amides
0378-9116-93,486146,C01DA,Organic nitrates
51079-0216-20,314106,A02BD,Combinations for eradication of Helicobacter pylori
51672-1309-03,848208,A07EA,Corticosteroids acting locally
42457-0420-60,1928941,A16AA,Amino acids and derivatives
43598-0392-48,311487,L01AA,Nitrogen mustard analogues
24201-0237-01,1740864,L01BB,Purine analogues
61314-0016-01,1191013,S01HA,Local anesthetics
24201-0400-02,308866,H05BA,Calcitonin preparations
0456-2410-63,859979,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
61958-0501-01,881343,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
13811-0682-30,349490,N05AX,Other antipsychotics
59676-0565-01,1236632,J05AE,Protease inhibitors
59762-3140-01,141963,J01FA,Macrolides
0456-1110-30,1086776,N06AX,Other antidepressants
0904-6801-61,853201,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
68084-0996-01,312593,C02CA,Alpha-adrenoreceptor antagonists
24208-0295-25,309683,J01GB,Other aminoglycosides
61703-0339-56,597195,L01XA,Platinum compounds
50458-0308-11,706829,N05AX,Other antipsychotics
68180-0615-07,721794,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
0555-0997-02,313979,H02AA,Mineralocorticoids
0641-6046-10,238100,N05BA,Benzodiazepine derivatives
55513-0025-04,730046,B03XA,Other antianemic preparations
61958-1501-01,1484922,J05AP,Antivirals for treatment of HCV infections
68084-0059-21,199655,R03DC,Leukotriene receptor antagonists
68462-0358-01,311892,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
61958-0801-01,722124,C02KX,Antihypertensives for pulmonary arterial hypertension
0904-0012-61,1363309,R06AB,Substituted alkylamines
0597-0360-82,1037049,B01AE,Direct thrombin inhibitors
62332-0025-31,317769,R03DA,Xanthines
0406-9125-76,245134,N02AB,Phenylpiperidine derivatives
61703-0326-18,1737453,M05BA,Bisphosphonates
49884-0563-11,850087,N03AX,Other antiepileptics
0310-0275-10,153638,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
69102-0359-11,753451,N03AX,Other antiepileptics
0409-1180-69,1242106,N02AB,Phenylpiperidine derivatives
0574-7224-06,897749,N02AA,Natural opium alkaloids
24208-0434-05,312075,S01AE,Fluoroquinolones
65862-0603-30,311787,J01MA,Fluoroquinolones
45963-0613-59,312199,L01CD,Taxanes
0169-2550-13,1670023,A10AE,"Insulins and analogues for injection, long-acting"
0169-2660-97,1670016,A10AE,"Insulins and analogues for injection, long-acting"
60758-0880-05,310377,S01BA,"Corticosteroids, plain"
0115-6811-10,993541,N06AX,Other antidepressants
60687-0586-01,198202,J04AB,Antibiotics
0536-1055-56,308694,D10AE,Peroxides
54838-0005-30,2171111,A11HA,Other plain vitamin preparations
63323-0187-30,1807571,B05XA,Electrolyte solutions
0143-9729-05,885205,N04AC,Ethers of tropine or tropine derivatives
57782-0397-26,1797851,R01AC,"Antiallergic agents, excl. corticosteroids"
50419-0488-58,615979,L01EX,Other protein kinase inhibitors
0168-0293-30,861434,D07AD,"Corticosteroids, very potent (group IV)"
0555-0899-02,197657,G03CA,"Natural and semisynthetic estrogens, plain"
42799-0806-01,311207,P02CF,Avermectines
55111-0679-10,861363,B01AX,Other antithrombotic agents
67457-0583-04,861363,B01AX,Other antithrombotic agents
63323-0471-01,1719803,N05AD,Butyrophenone derivatives
51862-0320-01,903456,H03AA,Thyroid hormones
51079-0141-20,905495,N05BA,Benzodiazepine derivatives
0832-1120-35,1597129,G03BA,3-oxoandrosten (4) derivatives
50268-0311-12,477560,C10AB,Fibrates
62756-0517-88,197443,N04BA,Dopa and dopa derivatives
67877-0259-30,636664,N04BD,Monoamine oxidase B inhibitors
60432-0212-08,283077,H02AB,Glucocorticoids
58980-0610-30,198886,B05BC,Solutions producing osmotic diuresis
51672-4130-01,282401,N03AX,Other antiepileptics
0703-5054-01,849501,H01BA,Vasopressin and analogues
0168-0201-60,309333,D10AF,Antiinfectives for treatment of acne
0527-1552-01,238134,A01AD,Other agents for local oral treatment
65862-0476-01,198189,C09AA,"ACE inhibitors, plain"
0904-6772-12,211482,R06AA,Aminoalkyl ethers
69413-0330-30,201912,P01BD,Diaminopyrimidines
0185-0757-01,198228,J01EC,Intermediate-acting sulfonamides
55150-0162-05,1737566,N01BB,Amides
0536-1277-80,106258,D07AA,"Corticosteroids, weak (group I)"
23155-0043-03,205284,L04AK,Dihydroorotate dehydrogenase (DHODH) inhibitors
55150-0112-10,1721474,J01CA,Penicillins with extended spectrum
0409-3178-03,1010751,N01BB,Amides
60793-0702-10,731571,J01CE,Beta-lactamase sensitive penicillins
60687-0420-25,900575,J05AE,Protease inhibitors
60432-0065-75,617322,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
69097-0965-07,311892,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
0904-3854-61,308973,N03AF,Carboxamide derivatives
0641-6127-25,1731993,N02AA,Natural opium alkaloids
61953-0005-02,1809477,B06AA,Enzymes
50881-0010-60,1193337,D11AH,"Agents for dermatitis, excluding corticosteroids"
37000-0475-08,211176,A07BB,Bismuth preparations
24208-0780-55,308493,S01AA,Antibiotics
14789-0012-02,240793,C02DD,Nitroferricyanide derivatives
12496-1208-03,1010606,N07BC,Drugs used in opioid dependence
70121-1605-07,1667915,C01CA,Adrenergic and dopaminergic agents
42388-0024-26,1790167,L01EX,Other protein kinase inhibitors
55513-0730-01,1046402,M05BX,Other drugs affecting bone structure and mineralization
53489-0330-01,835593,N06AA,Non-selective monoamine reuptake inhibitors
0904-6019-46,199123,L02BB,Anti-androgens
0781-3416-94,351209,J02AC,Triazole and tetrazole derivatives
51079-0515-20,312441,A10BG,Thiazolidinediones
65757-0300-01,637216,N07BB,Drugs used in alcohol dependence
62332-0518-05,313415,J01GB,Other aminoglycosides
23155-0216-31,199388,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
0591-5347-01,198152,M04AB,Preparations increasing uric acid excretion
55390-0070-01,1729422,L01CA,Vinca alkaloids and analogues
10019-0926-02,1791588,L01AA,Nitrogen mustard analogues
42023-0157-01,617325,C03CC,Aryloxyacetic acid derivatives
0487-9601-01,349094,A07EA,Corticosteroids acting locally
60505-0750-04,309092,J01DD,Third-generation cephalosporins
0406-1473-01,1091225,N06BA,Centrally acting sympathomimetics
60687-0504-01,897640,C08DA,Phenylalkylamine derivatives
60505-0769-00,313920,J01DB,First-generation cephalosporins
0904-6991-04,483442,N02BF,Gabapentinoids
10019-0120-01,1736546,C07AB,"Beta blocking agents, selective"
68094-0123-62,283536,N03AF,Carboxamide derivatives
60687-0105-21,1000114,G03DA,Pregnen (4) derivatives
45802-0438-03,106258,D07AA,"Corticosteroids, weak (group I)"
0378-5053-01,476515,N04BA,Dopa and dopa derivatives
48433-0230-15,204913,H03CA,Iodine therapy
27808-0086-01,1087459,R05DA,Opium alkaloids and derivatives
0536-1109-45,198886,B05BC,Solutions producing osmotic diuresis
51672-1293-02,861487,D07AD,"Corticosteroids, very potent (group IV)"
59630-0266-10,2265711,J01DI,Other cephalosporins and penems
0143-9746-10,857635,R03AC,Selective beta-2-adrenoreceptor agonists
51862-0321-01,903697,H03AA,Thyroid hormones
59762-1003-01,360110,L01EG,Mammalian target of rapamycin (mTOR) kinase inhibitors
0884-0449-04,212428,B05BC,Solutions producing osmotic diuresis
0536-1106-88,198031,N07BA,Drugs used in nicotine dependence
57970-0100-01,1539248,J01XA,Glycopeptide antibacterials
68180-0280-01,995599,J04AK,Other drugs for treatment of tuberculosis
0555-0066-02,311166,J04AC,Hydrazides
0409-4276-02,1010033,N01BB,Amides
24208-0585-59,314238,S01FA,Anticholinergics
49702-0202-18,213088,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
51079-0434-20,860215,G03AC,Progestogens
0574-0791-01,197940,S01EC,Carbonic anhydrase inhibitors
59212-0425-10,1046978,A03CB,Belladonna and derivatives in combination with psycholeptics
60687-0286-21,197411,G02CB,Prolactine inhibitors
0378-2042-01,197411,G02CB,Prolactine inhibitors
13533-0602-50,1659991,B01AB,Heparin group
16729-0364-68,581531,J01AA,Tetracyclines
69452-0132-17,310004,C01BD,"Antiarrhythmics, class III"
53489-0551-01,861424,C01BC,"Antiarrhythmics, class Ic"
69452-0133-17,310005,C01BD,"Antiarrhythmics, class III"
69452-0131-17,310003,C01BD,"Antiarrhythmics, class III"
70257-0051-51,1658423,J06BB,Specific immunoglobulins
16729-0114-08,310248,L01CB,Podophyllotoxin derivatives
0703-5748-11,309311,L01XA,Platinum compounds
47781-0607-30,197623,N07BB,Drugs used in alcohol dependence
47335-0361-41,636631,L01BC,Pyrimidine analogues
0409-1903-01,857962,C01BA,"Antiarrhythmics, class Ia"
0409-1902-01,857886,C01BA,"Antiarrhythmics, class Ia"
0597-0355-56,1037181,B01AE,Direct thrombin inhibitors
0185-0271-01,198056,A14AA,Androstan derivatives
0310-6210-30,1486977,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
0555-0138-09,310436,N06DA,Anticholinesterases
67457-0197-10,238720,B02AA,Amino acids
36000-0001-24,311683,J01XD,Imidazole derivatives
67457-0208-50,1736590,V03AF,Detoxifying agents for antineoplastic treatment
67457-0513-05,239179,L01DA,Actinomycines
55111-0685-07,351114,M05BA,Bisphosphonates
54092-0702-02,1148145,B06AC,Drugs used in hereditary angioedema
63323-0464-37,1725177,N01BB,Amides
0264-2201-00,486515,B05CB,Salt solutions
62332-0042-30,200095,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
0574-7112-12,892516,N02AA,Natural opium alkaloids
0409-2634-05,1724340,N02AA,Natural opium alkaloids
0409-9045-17,1672919,N01BB,Amides
51991-0526-33,313222,D01BA,Antifungals for systemic use
71287-0119-01,1987407,L01XL,Antineoplastic cell and gene therapy
0591-2070-72,197877,N01BB,Amides
49702-0223-18,729201,J05AX,Other antivirals
0178-0610-01,603281,A12BA,Potassium
65162-0698-90,283523,N02BF,Gabapentinoids
25021-0400-30,1361226,B01AB,Heparin group
45963-0342-02,1099300,N06AA,Non-selective monoamine reuptake inhibitors
23155-0582-01,1099292,N06AA,Non-selective monoamine reuptake inhibitors
0781-1975-01,1099292,N06AA,Non-selective monoamine reuptake inhibitors
76478-0501-20,207468,N05CA,"Barbiturates, plain"
44567-0436-24,1665507,J01MA,Fluoroquinolones
63323-0351-20,312821,J04AB,Antibiotics
24208-0342-05,849506,H01BA,Vasopressin and analogues
55566-2400-00,849522,H01BA,Vasopressin and analogues
17478-0206-05,1234571,S01FB,Sympathomimetics excl. antiglaucoma preparations
52959-0582-03,995241,N05BB,Diphenylmethane derivatives
64679-0728-01,313165,N02CC,Selective serotonin (5HT1) agonists
70860-0117-26,1721460,J01CF,Beta-lactamase resistant penicillins
0132-0079-12,104155,A06AX,Other drugs for constipation
23155-0649-41,309012,L01AD,Nitrosoureas
0409-0201-10,1093280,L01CD,Taxanes
45802-0060-03,1648110,D06AX,Other antibiotics for topical use
10147-1700-07,311204,J02AC,Triazole and tetrazole derivatives
60687-0415-01,197535,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
51079-0572-01,198322,N05AB,Phenothiazines with piperazine structure
24208-0535-35,864650,S01AD,Antivirals
0904-6272-08,313778,N05AE,Indole derivatives
67457-0422-54,1116927,H02AB,Glucocorticoids
66689-0202-04,212227,A07BA,Charcoal preparations
55150-0173-01,313165,N02CC,Selective serotonin (5HT1) agonists
59390-0192-05,992759,S01FA,Anticholinergics
50242-0063-01,1088251,L01EB,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
55292-0811-55,105569,L01DA,Actinomycines
65649-0101-02,885859,A07EC,Aminosalicylic acid and similar agents
0187-3013-30,903849,N07AA,Anticholinesterases
0378-1101-01,312593,C02CA,Alpha-adrenoreceptor antagonists
27437-0050-56,996826,G02AB,Ergot alkaloids
42571-0147-26,1923432,C07AA,"Beta blocking agents, non-selective"
0143-9565-01,1660009,L01AC,Ethylene imines
66993-0060-27,864675,P01BB,Biguanides
49884-0321-55,312076,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
0904-6187-61,855671,N03AB,Hydantoin derivatives
16729-0306-10,485246,L01BC,Pyrimidine analogues
59572-0710-30,1940372,L01XM,Isocitrate dehydrogenase (IDH) inhibitors
60687-0325-01,314076,C09AA,"ACE inhibitors, plain"
62559-0159-01,903891,N06AB,Selective serotonin reuptake inhibitors
63323-0477-27,1794186,N01BA,Esters of aminobenzoic acid
70594-0046-02,1807513,A07AA,Antibiotics
51285-0162-88,858079,G03AC,Progestogens
0781-7216-64,1010600,N07BC,Drugs used in opioid dependence
50111-0327-03,905225,C02DB,Hydrazinophthalazine derivatives
63323-0483-27,1010763,N01BB,Amides
50458-0580-30,1114202,B01AF,Direct factor Xa inhibitors
49281-0589-58,797641,J07AH,Meningococcal vaccines
25682-0001-01,700387,L04AJ,Complement inhibitors
70199-0006-32,207790,J01XE,Nitrofuran derivatives
54482-0144-07,206346,A16AA,Amino acids and derivatives
69238-1310-09,483442,N02BF,Gabapentinoids
63323-0715-05,727762,L02BA,Anti-estrogens
62756-0060-40,562502,B01AC,Platelet aggregation inhibitors excl. heparin
0904-6271-08,313777,N05AE,Indole derivatives
0574-0850-05,861672,N02CA,Ergot alkaloids
25021-0137-20,1721476,J01CA,Penicillins with extended spectrum
64980-0282-03,248420,A07EC,Aminosalicylic acid and similar agents
68084-0021-21,242679,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
70710-1165-06,1115698,J05AH,Neuraminidase inhibitors
47335-0188-88,476515,N04BA,Dopa and dopa derivatives
60505-3438-03,859193,N04BD,Monoamine oxidase B inhibitors
62935-0223-05,825335,L02AE,Gonadotropin releasing hormone analogues
66993-0877-61,313921,D05AX,Other antipsoriatics for topical use
63323-0286-20,1734484,N01BB,Amides
0574-7116-12,892678,N02AA,Natural opium alkaloids
55390-0123-01,312821,J04AB,Antibiotics
0409-7299-73,1859490,B05XA,Electrolyte solutions
16571-0203-10,855664,D11AX,Other dermatologicals
0591-3216-30,1597123,G03BA,3-oxoandrosten (4) derivatives
25021-0140-10,1721460,J01CF,Beta-lactamase resistant penicillins
68462-0684-01,360110,L01EG,Mammalian target of rapamycin (mTOR) kinase inhibitors
67919-0041-02,1540868,J01XX,Other antibacterials
51079-0818-20,198377,L04AD,Calcineurin inhibitors
52565-0020-60,1191315,D07AC,"Corticosteroids, potent (group III)"
62175-0106-01,311192,C01DA,Organic nitrates
71715-0002-21,2059280,J01AA,Tetracyclines
76329-3340-01,1190546,A03BA,"Belladonna alkaloids, tertiary amines"
68992-3075-03,1664458,L04AD,Calcineurin inhibitors
0456-2240-30,1433235,N06AX,Other antidepressants
0597-0047-24,213405,J05AG,Non-nucleoside reverse transcriptase inhibitors
49884-0231-83,198140,P02BA,Quinoline derivatives and related substances
51224-0162-12,1250234,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
68084-0149-01,259966,H02AB,Glucocorticoids
57962-0014-28,2000019,L01EL,Bruton's tyrosine kinase (BTK) inhibitors
0536-1850-97,1049163,R01BA,Sympathomimetics
50474-0805-03,724156,N04BC,Dopamine agonists
63323-0012-11,1791721,H01BB,Oxytocin and analogues
76310-0022-01,105648,L03AC,Interleukins
59212-0002-01,208675,C03DB,Other potassium-sparing agents
49281-0422-88,2605543,J07BB,Influenza vaccines
68682-0370-90,830801,C08DB,Benzothiazepine derivatives
64980-0509-24,309686,H02AB,Glucocorticoids
68382-0860-10,885205,N04AC,Ethers of tropine or tropine derivatives
55150-0194-10,1736546,C07AB,"Beta blocking agents, selective"
0781-3312-75,1728055,A04AA,Serotonin (5HT3) antagonists
51079-0624-85,285024,D06BA,Sulfonamides
63402-0190-30,540407,N05CF,Benzodiazepine related drugs
51079-0623-81,201185,D06BA,Sulfonamides
0378-0317-01,197506,A02BA,H2-receptor antagonists
54092-0253-90,603122,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
0591-3217-30,1597129,G03BA,3-oxoandrosten (4) derivatives
0781-3253-94,485246,L01BC,Pyrimidine analogues
70954-0135-10,197558,J04BA,Drugs for treatment of lepra
42367-0531-33,2590677,L01BA,Folic acid analogues
55150-0121-50,1659149,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
45802-0925-94,861434,D07AD,"Corticosteroids, very potent (group IV)"
50458-0551-10,686443,N05AX,Other antipsychotics
63323-0690-30,307719,R05CB,Mucolytics
0703-3678-01,1655956,L01BA,Folic acid analogues
13845-1202-02,197551,J04AB,Antibiotics
49938-0107-04,212381,J04AA,Aminosalicylic acid and derivatives
43292-0556-06,240755,A12AA,Calcium
55150-0188-10,238720,B02AA,Amino acids
68180-0876-13,748961,G03AC,Progestogens
70842-0160-10,207358,J01AA,Tetracyclines
70257-0563-01,1666620,M03BX,Other centrally acting agents
0703-3671-01,1655960,L01BA,Folic acid analogues
25021-0242-02,1740865,L01BB,Purine analogues
62175-0107-01,311197,C01DA,Organic nitrates
51079-0992-20,903891,N06AB,Selective serotonin reuptake inhibitors
50742-0233-01,562524,S01EC,Carbonic anhydrase inhibitors
64380-0160-01,860225,G03AC,Progestogens
65862-0560-90,314200,A02BC,Proton pump inhibitors
63323-0322-25,1726214,J01DH,Carbapenems
51144-0050-01,1147327,L01FX,Other monoclonal antibodies and antibody drug conjugates
58468-0357-01,828267,L04AG,Monoclonal antibodies
0781-1205-01,834061,J01CE,Beta-lactamase sensitive penicillins
51079-0957-01,197625,C02CA,Alpha-adrenoreceptor antagonists
61314-0126-05,860107,M01AB,Acetic acid derivatives and related substances
0121-1576-10,104884,A03FA,Propulsives
59572-0962-10,877516,L01XH,Histone deacetylase (HDAC) inhibitors
48818-0001-01,1796421,L01BA,Folic acid analogues
50419-0747-01,208975,P02BA,Quinoline derivatives and related substances
67066-0005-01,727492,V04CK,Tests for pancreatic function
0121-0721-04,310386,N06AB,Selective serotonin reuptake inhibitors
47335-0047-40,1736781,L01XA,Platinum compounds
47781-0597-91,1807513,A07AA,Antibiotics
0206-8862-01,1659151,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
16571-0330-16,702519,N03AA,Barbiturates and derivatives
59922-0631-01,1596023,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
51079-0588-20,313366,N05AF,Thioxanthene derivatives
52565-0031-15,1191302,D07AC,"Corticosteroids, potent (group III)"
50383-0775-04,1010739,N01BB,Amides
0555-0886-02,197658,G03CA,"Natural and semisynthetic estrogens, plain"
42571-0316-01,246172,N05BA,Benzodiazepine derivatives
0173-0754-00,900165,N03AX,Other antiepileptics
60505-6128-01,1726324,L01CE,Topoisomerase 1 (TOP1) inhibitors
42023-0118-01,860751,R06AA,Aminoalkyl ethers
62037-0699-30,831325,C05AE,Muscle relaxants
0574-0242-01,200258,A10BX,"Other blood glucose lowering drugs, excl. insulins"
0310-0095-30,1091843,D05AX,Other antipsoriatics for topical use
50242-0132-01,1922512,L01FD,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors
17772-0103-01,1437285,N03AX,Other antiepileptics
59746-0020-22,401953,N05AX,Other antipsychotics
64193-0425-02,1660001,B02BD,Blood coagulation factors
0143-9559-01,1804735,B01AE,Direct thrombin inhibitors
68180-0592-06,1874559,N06AX,Other antidepressants
54482-0147-01,206345,A16AA,Amino acids and derivatives
49502-0900-30,865208,N04BD,Monoamine oxidase B inhibitors
50458-0554-01,866105,N05AX,Other antipsychotics
0409-1630-10,1190546,A03BA,"Belladonna alkaloids, tertiary amines"
0591-3509-04,998675,C02AC,Imidazoline receptor agonists
63851-0501-02,830463,J07BG,Rabies vaccines
43547-0412-09,312749,C09AA,"ACE inhibitors, plain"
66215-0403-01,1302755,B01AC,Platelet aggregation inhibitors excl. heparin
68084-0075-21,199159,D10AD,Retinoids for topical use in acne
67457-0195-01,311487,L01AA,Nitrogen mustard analogues
69238-1471-03,310155,J01FA,Macrolides
24208-0795-35,309679,S01CA,Corticosteroids and antiinfectives in combination
60432-0834-60,197878,P03AB,Chlorine containing products
62559-0531-01,856569,C07AA,"Beta blocking agents, non-selective"
16729-0275-67,308769,B01AE,Direct thrombin inhibitors
0409-1893-01,1731995,N02AA,Natural opium alkaloids
60793-0701-10,731568,J01CE,Beta-lactamase sensitive penicillins
0713-0709-60,1191315,D07AC,"Corticosteroids, potent (group III)"
55150-0122-15,1721458,J01CF,Beta-lactamase resistant penicillins
10631-0286-05,885109,G01AD,Organic acids
62756-0798-88,1099870,N03AG,Fatty acid derivatives
